cytoband	9p21.3	11q24.3	15q15.3	6q25.3	17p13.1	
		PLET1		KCNQ5		
		LOC387810		AGPAT4		
		BSX		TULP4		
		OR6X1		RARS2		
		OR6M1		HYMAI		
		OR10G4		PDSS2		
		OR10G7		GOPC		
		OR8B3		SMIM8		
		OR8A1		ADGRG6		
		C11orf87		ARFGEF3		
		COLCA1		NHSL1		
		C11orf88		LYRM2		
		MIR100HG		SNX14		
		PATE2		PLEKHG1		
		PATE4		ARID1B		
		ST3GAL4-AS1		SERINC1		
		SNX19		HACE1		
		LOC403312		TMEM181		
		MIRLET7A2		ZBTB2		
		MIR100		BEND3		
		MIR125B1		ABRACL		
		MIR34B		RRAGD		
		MIR34C		PRDM13		
		BLID		PBOV1		
		LINC00167		BACH2		
		HEPN1		TRMT11		
		LOC643923		LINC01590		
		CLDN25		PERP		
		LOC646522		SMOC2		
		LOC649133		POPDC3		
		RPL23AP64		ALDH8A1		
		LOC100128239		MICAL1		
		LOC100131626		ULBP3		
		LOC100132078		OR2A4		
		LOC100132686		ARMT1		
		PATE3		FAM184A		
		NCAM1-AS1		ZDHHC14		
		BACE1-AS		MANEA		
		MIR4301		ADGB		
		MIR3167		FRMD1		
		USP2-AS1		AGPAT4-IT1		
		MIR3656		LINC00574		
		LOC100507283		LCAL1		
		SENCR		CCDC170		
		LOC100507431		MYCT1		
		LOC100507548		ULBP2		
		TMPRSS4-AS1		ULBP1		
		HSPB2-C11orf52		LPAL2		
		FXYD6-FXYD2		KHDC1		
		MIR4697		GPR63		
		MIR4493		PPP1R14C		
		MIR4491		SPACA1		
		MIR4492		RNF146		
		LOC100652768		SF3B5		
		KIRREL3-AS2		TAAR8		
		NTM-IT		SH3BGRL2		
		LOC101928823		RSPH3		
		LOC101928847		TTLL2		
		LOC101928940		ARMC2		
		LOC101928985		FBXO30		
		LOC101929011		RPF2		
		LOC101929089		L3MBTL3		
		LOC101929208		FAM120B		
		LOC101929227		MCHR2		
		LOC101929340		FAXC		
		LOC101929427		FNDC1		
		LOC101929473		GJA10		
		LOC101929497		RTN4IP1		
		LOC101929517		RSPO3		
		LOC101929538		LRP11		
		LINC01395		LTV1		
		NTM-AS1		SERAC1		
		LOC101929653		USP45		
		MIR6756		REPS1		
		MIR7641-2		PPIL4		
		MIR6090		SLC22A16		
		MIR6716		LINC01621		
		MIR8052		UBE3D		
		LOC102724301		LINC00473		
		LOC103611081		MFSD4B		
		PKNOX2-AS1		ARHGAP18		
		APOA1-AS		SYTL3		
		LOC105369486		GTF3C6		
		LOC105369507		MRAP2		
		LOC105369509		RWDD2A		
		LOC105369532		MTFR2		
		STT3A-AS1		SFT2D1		
				KLHL32		
				TMEM200A		
				MB21D1		
				NUS1		
				GINM1		
				IL22RA2		
				SLC18B1		
				SLC16A10		
				TAGAP		
				ADAT2		
				RIPPLY2		
				IRAK1BP1		
				CLVS2		
				TAAR9		
				TAAR1		
				STXBP5		
				NCOA7		
				HINT3		
				PACRG		
				CD109		
				RAET1E		
				PM20D2		
				SRSF12		
				LOC153910		
				ZC2HC1B		
				CNKSR3		
				RAET1L		
				SAMD3		
				LINC01312		
				SLC2A12		
				LINC01010		
				PNLDC1		
				RNF217		
				NKAIN2		
				KHDC3L		
				CFAP206		
				BVES-AS1		
				LOC154449		
				PRSS35		
				LCA5		
				OLIG3		
				TXLNB		
				DACT2		
				C6orf118		
				OSTCP1		
				C6orf163		
				CCDC162P		
				AK9		
				NT5DC1		
				FAM26D		
				ZUFSP		
				FAM162B		
				TBC1D32		
				HS3ST5		
				GPRC6A		
				RFX6		
				SLC35F1		
				VGLL2		
				LACE1		
				TMEM244		
				MMS22L		
				WDR27		
				FAM26E		
				MCM9		
				SCML4		
				SHPRH		
				LINC00326		
				PHACTR2-AS1		
				CEP57L1		
				PPIL6		
				LINC01268		
				FLJ34503		
				DCBLD1		
				LOC285762		
				PACRG-AS1		
				PRR18		
				LOC285804		
				TAAR6		
				SLC35D3		
				ZC3H12D		
				DPPA5		
				RSPH4A		
				ECT2L		
				NUP43		
				C6orf58		
				RAET1G		
				GJB7		
				HMGA1P7		
				SNHG5		
				SUMO4		
				CENPW		
				SOGA3		
				LINC00222		
				CEP85L		
				C6orf120		
				THEMIS		
				LIN28B		
				SAMD5		
				IYD		
				DKFZp451B082		
				TCP10L2		
				LOC401286		
				LINC00242		
				LINC01624		
				GTF2H5		
				OOEP		
				FAM26F		
				FLJ46906		
				LINC00602		
				LOC441178		
				GSTM2P1		
				RFPL4B		
				SNORD101		
				SNORD100		
				SNORA33		
				FAM229B		
				TSG1		
				LOC643623		
				TRAF3IP2-AS1		
				CTAGE9		
				LINC01625		
				RPS18P9		
				LOC645967		
				RAET1K		
				AFDN-AS1		
				SNORA20		
				SNORA29		
				SNORD50B		
				MIR548A2		
				MIR548B		
				MIR587		
				MIR588		
				MCHR2-AS1		
				TPI1P3		
				METTL24		
				KATNBL1P6		
				STXBP5-AS1		
				TMEM242		
				LOC729603		
				PACRG-AS3		
				LIN28B-AS1		
				HGC6.3		
				UST-AS1		
				TRAPPC3L		
				KHDC1L		
				LOC100129518		
				LOC100130476		
				TSTD3		
				C6orf99		
				LOC100131532		
				LINC00271		
				LOC100132735		
				CD24		
				AIRN		
				LOC100287632		
				HMGN3-AS1		
				LOC100289495		
				NHEG1		
				MIR1913		
				MIR2113		
				MIR1202		
				LOC100422737		
				MIR1273C		
				MIR3144		
				MIR3145		
				MIR4282		
				MIR3918		
				MIR3939		
				MIR3668		
				MIR3662		
				MIR3692		
				SYNE1-AS1		
				KIF25-AS1		
				LOC100506804		
				SMLR1		
				LINC01013		
				TARID		
				KCNQ5-IT1		
				LOC100507406		
				GVQW2		
				LOC100507477		
				LINC01277		
				LOC100507557		
				CAHM		
				MIR4464		
				MIR4466		
				MIR4643		
				MIR4465		
				MIR548AJ1		
				MIR4459		
				MIR548AI		
				MIR4463		
				MIR4644		
				MIR548H5		
				RAET1E-AS1		
				RPS6KA2-AS1		
				KCNQ5-AS1		
				SYNJ2-IT1		
				RPS6KA2-IT1		
				LOC100996634		
				EZR-AS1		
				MANEA-AS1		
				LOC101927314		
				LOC101927365		
				LOC101927640		
				LOC101927686		
				LOC101927768		
				LOC101927919		
				HRAT13		
				LOC101928140		
				LOC101928231		
				LOC101928304		
				LOC101928429		
				LOC101928461		
				LOC101928489		
				LOC101928516		
				LOC101928540		
				MEI4		
				LOC101928661		
				LINC01526		
				LOC101928820		
				LOC101928911		
				LOC101928936		
				LOC101929057		
				CASC6		
				LOC101929122		
				PACRG-AS2		
				LOC101929297		
				LOC101929420		
				LOC101929460		
				LINC01615		
				LOC101929504		
				LOC101929523		
				ARMC2-AS1		
				MIR7161		
				MIR7641-2		
				LOC102723649		
				LOC102723831		
				LOC102724053		
				LOC102724152		
				TBX18-AS1		
				LOC102724357		
				LOC102724511		
				LOC103352541		
				NCOA7-AS1		
				LOC105377879		
				LINC01611		
				LOC105377924		
				LOC105377962		
				LOC105377967		
				LOC105377975		
				LOC105378047		
				LOC105378052		
				LOC105378068		
				LOC105378098		
				MEAT6		
				LOC105378123		
				LOC105378127		
				LOC105378137		
				LOC105378146		
				LUADT1		
				SNORA98		
				SNORD141A		
